class_id,class_name,object_count,image_count,object_fraction,image_fraction
0,person,5545,1114,0.3650427913100724,0.557
1,boat,135,62,0.008887425938117182,0.031
2,animal,3020,798,0.1988150098749177,0.399
3,seat,641,322,0.04219881500987492,0.161
4,sign,788,424,0.05187623436471363,0.212
5,bicycle,665,214,0.04377880184331797,0.107
6,car,1949,459,0.1283080974325214,0.2295
7,ball,95,78,0.006254114549045424,0.039
8,light,1835,542,0.12080315997366689,0.271
9,garbage can,282,231,0.018564845292955892,0.1155
10,uav,208,150,0.013693219223173141,0.075
11,tricycle,27,23,0.0017774851876234364,0.0115
