stem,line,action,before,after
000003_026_00000001,1,reclassify_visually_confirmed_box,0 0.623698 0.336574 0.752604 0.678704,6 0.623698 0.336574 0.752604 0.678704
000003_080_00000307,8,clip_reviewed_invalid_box,0 0.436719 0.499537 0.291146 1.00093,0 0.436719 0.5 0.291146 1
000005_026_00000001,1,reclassify_visually_confirmed_box,6 0.660156 0.556481 0.146354 0.72963,0 0.660156 0.556481 0.146354 0.72963
000005_026_00000001,2,reclassify_visually_confirmed_box,6 0.820833 0.395833 0.0458333 0.210185,0 0.820833 0.395833 0.0458333 0.210185
000005_026_00000001,3,reclassify_visually_confirmed_box,6 0.863802 0.382407 0.0390625 0.209259,0 0.863802 0.382407 0.0390625 0.209259
000005_026_00000001,4,reclassify_visually_confirmed_box,6 0.532292 0.465741 0.104167 0.383333,0 0.532292 0.465741 0.104167 0.383333
000050,27,clip_reviewed_invalid_box,0 1.00339 0.244907 0.0203125 0.0583333,0 0.996616875 0.244907 0.00676625 0.0583333
000050,37,clip_reviewed_invalid_box,5 1.00104 0.2875 0.0260417 0.0527778,5 0.994009575 0.2875 0.01198085 0.0527778
002517,1,reclassify_visually_confirmed_box,4 0.0877604 0.925463 0.0505208 0.149074,8 0.0877604 0.925463 0.0505208 0.149074
002517,2,reclassify_visually_confirmed_box,4 0.179427 0.959259 0.0338542 0.0814815,8 0.179427 0.959259 0.0338542 0.0814815
002517,3,reclassify_visually_confirmed_box,4 0.21875 0.981944 0.0260417 0.0361111,8 0.21875 0.981944 0.0260417 0.0361111
002517,4,reclassify_visually_confirmed_box,4 0.31224 0.988426 0.0130208 0.0231481,8 0.31224 0.988426 0.0130208 0.0231481
002517,5,reclassify_visually_confirmed_box,4 0.319271 0.978241 0.0270833 0.0435185,8 0.319271 0.978241 0.0270833 0.0435185
002517,6,reclassify_visually_confirmed_box,4 0.317708 0.94537 0.040625 0.109259,8 0.317708 0.94537 0.040625 0.109259
002517,7,reclassify_visually_confirmed_box,4 0.311458 0.888889 0.0677083 0.222222,8 0.311458 0.888889 0.0677083 0.222222
003107,2,clip_reviewed_invalid_box,0 1.00651 0.534259 0.0598958 0.148148,0 0.98828105 0.534259 0.0234379 0.148148
003817,3,clip_reviewed_invalid_box,0 0.0565104 0.500926 0.113021 1.00185,0 0.05651045 0.5000005 0.1130209 0.999999
hehe_10_00000044,14,drop_exact_duplicate,0 0.159635 0.475 0.0192708 0.0666667,
