class_id,class_name,size_bin,GT_support,TP,FN,recall_at_conf_0_25_iou_0_50
0,person,tiny,394,122,272,0.3096446700507614
1,boat,tiny,6,0,6,0.0
2,animal,tiny,119,35,84,0.29411764705882354
3,seat,tiny,5,0,5,0.0
4,sign,tiny,44,9,35,0.20454545454545456
5,bicycle,tiny,47,24,23,0.5106382978723404
6,car,tiny,80,59,21,0.7375
7,ball,tiny,9,1,8,0.1111111111111111
8,light,tiny,37,10,27,0.2702702702702703
9,garbage can,tiny,15,0,15,0.0
10,uav,tiny,1,1,0,1.0
11,tricycle,tiny,0,0,0,
0,person,small,300,196,104,0.6533333333333333
1,boat,small,6,3,3,0.5
2,animal,small,241,159,82,0.6597510373443983
3,seat,small,26,7,19,0.2692307692307692
4,sign,small,48,26,22,0.5416666666666666
5,bicycle,small,31,7,24,0.22580645161290322
6,car,small,224,196,28,0.875
7,ball,small,8,7,1,0.875
8,light,small,140,108,32,0.7714285714285715
9,garbage can,small,13,3,10,0.23076923076923078
10,uav,small,28,18,10,0.6428571428571429
11,tricycle,small,1,0,1,0.0
0,person,medium,308,270,38,0.8766233766233766
1,boat,medium,12,8,4,0.6666666666666666
2,animal,medium,202,173,29,0.8564356435643564
3,seat,medium,58,50,8,0.8620689655172413
4,sign,medium,50,36,14,0.72
5,bicycle,medium,49,35,14,0.7142857142857143
6,car,medium,72,62,10,0.8611111111111112
7,ball,medium,2,2,0,1.0
8,light,medium,186,172,14,0.9247311827956989
9,garbage can,medium,26,18,8,0.6923076923076923
10,uav,medium,13,13,0,1.0
11,tricycle,medium,2,1,1,0.5
0,person,large,109,102,7,0.9357798165137615
1,boat,large,2,1,1,0.5
2,animal,large,42,36,6,0.8571428571428571
3,seat,large,39,30,9,0.7692307692307693
4,sign,large,9,8,1,0.8888888888888888
5,bicycle,large,7,7,0,1.0
6,car,large,14,13,1,0.9285714285714286
7,ball,large,0,0,0,
8,light,large,11,9,2,0.8181818181818182
9,garbage can,large,3,3,0,1.0
10,uav,large,0,0,0,
11,tricycle,large,2,0,2,0.0
