predicted\true,person,boat,animal,seat,sign,bicycle,car,ball,light,garbage can,uav,tricycle,background
person,715.0,4.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0
boat,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
animal,3.0,1.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0
seat,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
sign,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0
bicycle,3.0,0.0,0.0,1.0,0.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0
car,0.0,0.0,0.0,0.0,0.0,3.0,335.0,0.0,0.0,0.0,0.0,2.0,122.0
ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
light,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,52.0
garbage can,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,8.0
uav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,5.0
tricycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
background,390.0,9.0,188.0,35.0,69.0,54.0,53.0,9.0,68.0,33.0,10.0,2.0,0.0
