category,rank,image_stem,preview,GT_count,FN_count,FP_count,mean_luminance,grayscale_std,max_gt_pairwise_iou
tiny_target,1,002962,hard_cases/tiny_target_1_002962.jpg,15,12,2,90.48461323302469,66.08828124381272,0.22933348150625193
tiny_target,2,003056,hard_cases/tiny_target_2_003056.jpg,13,12,2,103.22550974151234,55.45785432812728,0.19509803169612172
tiny_target,3,000012_025_00000313,hard_cases/tiny_target_3_000012_025_00000313.jpg,11,11,1,116.83473476080248,71.93245233533182,0.0
occlusion,1,003489,hard_cases/occlusion_1_003489.jpg,19,5,8,105.75078993055556,54.2936739262287,0.992489617863569
occlusion,2,003645,hard_cases/occlusion_2_003645.jpg,19,16,0,110.30429398148148,51.14927446260526,0.9908732299384749
occlusion,3,000016_042_00000261,hard_cases/occlusion_3_000016_042_00000261.jpg,3,2,1,114.89097029320988,56.760819360295066,0.9715099863904104
low_light,1,hehe_178_000002_025_00000079,hard_cases/low_light_1_hehe_178_000002_025_00000079.jpg,11,4,3,82.37264178240741,77.09795040329568,0.7945292770850206
low_light,2,000380,hard_cases/low_light_2_000380.jpg,3,2,1,85.5357103587963,78.86422113991138,0.0
low_light,3,hehe_114_000002_003_00000244,hard_cases/low_light_3_hehe_114_000002_003_00000244.jpg,13,2,3,89.17759114583333,77.43424672482413,0.5585521599736749
low_contrast,1,000926,hard_cases/low_contrast_1_000926.jpg,3,2,0,128.3574821566358,26.706600744908847,0.0
low_contrast,2,003958,hard_cases/low_contrast_2_003958.jpg,46,31,13,113.97951822916667,29.304791007657172,0.2955532050579324
low_contrast,3,001835,hard_cases/low_contrast_3_001835.jpg,17,1,1,134.57603153935185,29.706193147804264,0.13871467350715302
crowded_scene,1,003980,hard_cases/crowded_scene_1_003980.jpg,53,28,26,110.76878375771605,43.95924893383736,0.1178112332804686
crowded_scene,2,003958,hard_cases/crowded_scene_2_003958.jpg,46,31,13,113.97951822916667,29.304791007657172,0.2955532050579324
crowded_scene,3,003974,hard_cases/crowded_scene_3_003974.jpg,45,22,32,105.68937355324074,51.81838422784423,0.20391979060469223
similar_classes,1,001139,hard_cases/similar_classes_1_001139.jpg,12,8,7,125.35090133101852,72.69565681643375,0.46157806203878954
similar_classes,2,003096,hard_cases/similar_classes_2_003096.jpg,19,9,5,112.87593846450618,56.48320032299598,0.38652569297164147
similar_classes,3,000003_013_00000169,hard_cases/similar_classes_3_000003_013_00000169.jpg,5,4,1,102.39033468364198,55.94420997364688,0.32370040204961376
boundary_object,1,000926,hard_cases/boundary_object_1_000926.jpg,3,2,0,128.3574821566358,26.706600744908847,0.0
boundary_object,2,shuming_85_00000273,hard_cases/boundary_object_2_shuming_85_00000273.jpg,5,4,0,124.58868682484568,43.254940890727966,0.0
boundary_object,3,001138,hard_cases/boundary_object_3_001138.jpg,9,2,2,120.68853732638888,72.60958517410047,0.11782500109117235
