image_stem,class_id,class_name,confidence,bbox_xywhn,fp_reason,best_any_iou,best_gt_class
000186,4,sign,0.956628,"[0.868172, 0.786382, 0.055237, 0.338994]",localization,0.29813592642682357,sign
000976,4,sign,0.933809,"[0.835874, 0.345807, 0.0860233, 0.231425]",localization,0.320976550020425,light
003138,4,sign,0.910962,"[0.48438, 0.245939, 0.0797051, 0.204436]",background,0.0,sign
002318,0,person,0.902716,"[0.358555, 0.596251, 0.319722, 0.557741]",localization,0.4652184216653463,seat
001139,0,person,0.89857,"[0.610867, 0.706966, 0.0796228, 0.256744]",class_confusion,0.8988123890496198,boat
003096,0,person,0.893086,"[0.530895, 0.266314, 0.079837, 0.258313]",class_confusion,0.5009649651061352,seat
000003_013_00000169,6,car,0.892065,"[0.691279, 0.500004, 0.563003, 0.763256]",class_confusion,0.8551728440316131,tricycle
000016_021_suppl_00000156,2,animal,0.887492,"[0.825355, 0.362247, 0.183599, 0.227105]",localization,0.43609925065343325,animal
002725,5,bicycle,0.887298,"[0.947794, 0.721879, 0.102737, 0.119466]",background,0.0,seat
003056,5,bicycle,0.885825,"[0.76873, 0.711801, 0.22357, 0.473908]",localization,0.42500117806495913,seat
hehe_178_000002_025_00000079,8,light,0.873088,"[0.917114, 0.398012, 0.0839481, 0.42201]",localization,0.14432149896890759,sign
002709,0,person,0.871943,"[0.949356, 0.550978, 0.0566738, 0.214157]",background,0.0,sign
000014_026_00000064,4,sign,0.868315,"[0.271884, 0.0822456, 0.0309172, 0.0543672]",background,0.0,sign
shuming_683_00000020,3,seat,0.863542,"[0.760627, 0.536458, 0.0569873, 0.170389]",localization,0.47895602569918366,person
00000036,8,light,0.861432,"[0.51254, 0.449138, 0.0444819, 0.312064]",localization,0.11434918983187642,uav
000003_014_00000001,6,car,0.860787,"[0.311521, 0.584419, 0.385942, 0.831094]",localization,0.42126862481760113,car
000693,6,car,0.854507,"[0.726493, 0.537044, 0.120057, 0.0947047]",background,0.0,car
000003_051_00000365,8,light,0.853169,"[0.778644, 0.661629, 0.0652163, 0.350314]",background,0.032196952254671604,person
hehe_178_000002_025_00000079,8,light,0.851466,"[0.690312, 0.437656, 0.0405077, 0.200576]",localization,0.14470775011017914,sign
000013_023_00000223,2,animal,0.851335,"[0.722635, 0.478943, 0.0626338, 0.120572]",localization,0.39842885481431506,animal
hehe_274_000002_060_00000105,5,bicycle,0.850771,"[0.0962851, 0.439262, 0.190549, 0.339637]",localization,0.4688090806274745,bicycle
003782,2,animal,0.849391,"[0.825525, 0.727073, 0.344599, 0.544696]",duplicate_detection,0.9468836765525276,animal
000007_011_00000501,4,sign,0.843898,"[0.725916, 0.644466, 0.0414021, 0.0814211]",localization,0.28564702578777007,sign
000003_013_00000085,6,car,0.838096,"[0.76587, 0.606615, 0.462496, 0.78677]",class_confusion,0.6258477038665858,tricycle
000962,2,animal,0.834025,"[0.612175, 0.711762, 0.145749, 0.154877]",duplicate_detection,0.9226712953331337,animal
000005_032_00000001,4,sign,0.83192,"[0.551444, 0.217059, 0.0566957, 0.323792]",background,0.0870930377798446,person
000020_014_00000193,4,sign,0.831386,"[0.98669, 0.650814, 0.0266195, 0.157905]",background,0.0,person
003265,1,boat,0.829832,"[0.40053, 0.482744, 0.165157, 0.137482]",localization,0.13367673428407945,seat
002693,0,person,0.826889,"[0.957946, 0.608348, 0.0435455, 0.274418]",background,0.0,light
000003_051_00000365,5,bicycle,0.821414,"[0.533103, 0.916924, 0.185619, 0.166152]",localization,0.4330128678093007,person
000020_011_00000076,0,person,0.817865,"[0.587407, 0.551992, 0.0641711, 0.166487]",background,0.0754809394998282,person
000023_008_00000068,0,person,0.817612,"[0.517918, 0.72703, 0.0929187, 0.334448]",localization,0.48243193780174776,person
shuming_72_00000270,6,car,0.813244,"[0.502101, 0.150186, 0.11146, 0.155754]",localization,0.398463582759844,car
001139,0,person,0.812634,"[0.789903, 0.648172, 0.0267719, 0.110798]",class_confusion,0.8542158072161086,boat
001139,0,person,0.803282,"[0.818296, 0.632804, 0.0361204, 0.133322]",class_confusion,0.7299488990490793,boat
