image_stem,width,height,mean_luminance,grayscale_std,gt_count,tp_count,fn_count,fp_count,max_gt_pairwise_iou
00000022,640,360,108.22157986111111,70.23455704323617,8,7,1,1,0.0
00000025,640,360,107.26543836805556,69.68988902188384,9,8,1,1,0.19905567625166434
00000036,640,360,124.0962890625,79.89856646854776,8,4,4,2,0.0
00000043,640,360,123.4583984375,76.50663685492694,9,8,1,1,0.09812354742875305
00000104,640,360,110.05413194444445,74.73351740385324,7,7,0,0,0.007950360771349892
00000129,640,360,130.24038194444444,61.344149885717215,2,2,0,0,0.0
00000130,640,360,130.59766059027777,61.34470238757555,2,2,0,0,0.0
00000184,640,360,126.47802951388888,57.94885813938745,3,3,0,0,0.0
00000207,640,360,121.29717013888889,58.6992714408478,3,3,0,0,0.0
00000241,640,360,119.00842447916666,75.27072742658171,2,1,1,0,0.0
00000243,640,360,118.65465711805555,75.38151353556087,1,1,0,1,0.0
00000244,640,360,118.791015625,75.26612972555677,1,1,0,0,0.0
00000248,640,360,119.36036024305555,75.17542653161671,1,0,1,1,0.0
00000253,640,360,114.8798046875,74.2985912490526,1,0,1,0,0.0
00000257,640,360,119.32227430555555,75.8637662860559,1,1,0,0,0.0
00000339,640,360,117.00212239583334,67.28553319448594,3,0,3,0,0.0
00000394,640,360,121.01231770833333,69.04416200235465,1,1,0,0,0.0
000003_013_00000085,1920,1080,106.9881037808642,61.98536174510338,3,0,3,4,0.019853808522096172
000003_013_00000169,1920,1080,102.39033468364198,55.94420997364688,5,1,4,1,0.32370040204961376
000003_014_00000001,1920,1080,100.14572723765433,67.06587671903102,3,2,1,5,0.012590400466015741
000003_014_00000161,1920,1080,102.87124276620371,63.587644961974206,9,5,4,4,0.3883547554987681
000003_029_00000084,1920,1080,103.65522617669752,56.965417818951984,7,3,4,2,0.06343687619079583
000003_029_00000333,1920,1080,101.60219955632716,57.17837503841022,3,1,2,1,0.008086844032850704
000003_051_00000365,1920,1080,98.87972752700617,75.15943398329226,5,5,0,3,0.34722426413157625
00000417,640,360,119.54209635416667,69.09177451782494,2,2,0,0,0.0
00000419,640,360,124.45953993055555,66.69950951528806,2,1,1,0,0.0
00000423,640,360,124.56383246527778,66.47045282700793,2,2,0,0,0.0
00000426,640,360,122.67597222222223,66.37631999963295,1,1,0,0,0.0
00000440,640,360,126.29558159722222,68.61830170906337,1,1,0,0,0.0
00000485,640,360,123.29253038194445,67.49704342627267,1,1,0,0,0.0
000004_018_00000341,1920,1080,109.06542775848766,60.52951104498526,12,2,10,3,0.19879629955221947
00000524,640,360,127.92387152777778,55.326157396867345,2,2,0,0,0.0
00000526,640,360,127.98786024305555,55.09441143349015,2,2,0,2,0.0
00000529,640,360,127.8391579861111,55.36080123945413,2,2,0,1,0.0
000005_032_00000001,1920,1080,111.47354214891975,55.721068511837984,14,9,5,8,0.8558347909094585
000005_032_00000205,1920,1080,114.42648485725309,66.88012918514458,13,11,2,7,0.32823255336466683
00000643,640,360,124.8833203125,69.15669601515438,3,3,0,0,0.0
000006_005_00000295,1920,1080,115.25228587962962,57.61263772673364,7,2,5,7,0.0
000006_005_00000393,1920,1080,117.32485339506172,58.2995345848515,7,3,4,2,0.0
000006_012_00000001,1920,1080,112.87507137345679,62.08788261276693,13,6,7,4,0.6386922806518323
000007_011_00000501,1920,1080,106.64480034722222,79.52327595165588,6,2,4,4,0.07261149722367405
000008_005_00000167,1920,1080,112.83624758873457,35.81079871022589,2,2,0,0,0.0
000008_005_00000333,1920,1080,108.58334587191358,34.387331245479245,2,1,1,1,0.0
000008_005_00000665,1920,1080,116.82627314814815,31.72248835872145,1,1,0,0,0.0
000008_013_00000195,1920,1080,114.39341724537037,56.404716939707406,3,3,0,0,0.0
000008_042_00000273,1920,1080,112.22314766589506,47.56749131399526,3,0,3,3,0.06145469347568913
000009_034_00000179,1920,1080,109.35132908950617,60.29879086477259,8,7,1,2,0.13810263869059689
000009_034_00000268,1920,1080,108.02472222222222,58.0463368571253,7,7,0,2,0.03545148867817762
000011_002_00000001,1920,1080,121.91899980709877,37.795856498352535,3,2,1,5,0.0
000011_002_00000085,1920,1080,121.77951581790123,32.16764089445544,5,3,2,0,0.3967325305188444
000011_006_00000001,1920,1080,106.69536844135803,72.02818915766672,4,0,4,0,0.20341379029142756
000011_006_00000256,1920,1080,100.74214602623456,71.11328264469402,6,0,6,4,0.38766741496573726
000011_015_00000244,1920,1080,128.17761140046295,48.18432177158668,1,1,0,0,0.0
000011_018_00000337,1920,1080,121.93316695601852,43.84789373486361,2,2,0,0,1.3650987976787305e-06
000011_027_00000001,1920,1080,130.93990113811728,64.70965509481739,2,2,0,0,0.10726748384397958
000012_005_00000001,1920,1080,111.92219280478395,64.01561217542108,2,1,1,0,0.0
000012_015_00000253,1920,1080,119.33296875,62.94173853424101,1,1,0,0,0.0
000012_019_00000076,1920,1080,99.45677420910494,63.52188041035481,6,2,4,0,0.03528822671391642
000012_019_00000151,1920,1080,121.25720341435185,69.81839821433992,6,0,6,1,0.0
000012_020_00000365,1920,1080,119.78606336805555,63.783632757908634,1,0,1,2,0.0
000012_022_00000090,1920,1080,99.40482976466049,60.23283297284752,2,0,2,0,0.0
000012_025_00000313,1920,1080,116.83473476080248,71.93245233533182,11,0,11,1,0.0
000013_001_00000001,1920,1080,113.07140625,53.55755838979948,4,3,1,2,0.07764344134068735
000013_001_00000071,1920,1080,108.81148051697531,53.23029361664357,4,2,2,2,0.04725472861586097
000013_001_00000281,1920,1080,107.42322964891976,50.91912663241229,5,4,1,1,0.1967208432521617
000013_011_00000076,1920,1080,112.60831259645062,31.776673744569234,3,1,2,0,0.0
000013_015_suppl_00000384,1920,1080,120.3068537808642,35.052773329803216,4,3,1,2,0.0
000013_017_00000001,1920,1080,107.02914689429012,38.68802751359865,2,2,0,0,0.0
000013_017_00000063,1920,1080,108.81500337577161,39.392003962621075,4,2,2,1,0.0
000013_017_00000125,1920,1080,111.79663146219136,39.47925903604191,3,2,1,0,0.0
000013_017_00000187,1920,1080,118.59002025462964,40.68910073631883,4,4,0,0,0.0
000013_023_00000001,1920,1080,108.85941792052469,36.98635750231792,3,3,0,0,0.0
000013_023_00000075,1920,1080,113.5981785300926,39.7508191091666,3,2,1,1,0.0
000013_023_00000223,1920,1080,114.55285204475308,41.935446697108844,3,0,3,1,0.010398810775691991
000013_036_00000208,1920,1080,108.00789110725309,41.0501285098366,2,1,1,3,0.0
000013_048_suppl_00000180,1920,1080,114.15754918981482,48.689223588452386,4,4,0,1,0.08361683306164874
000013_048_suppl_00000359,1920,1080,108.70008439429013,62.76593283344681,4,3,1,1,0.08614966898546783
000013_052_00000065,1920,1080,124.39400607638889,47.79979573663556,3,2,1,0,0.0
000013_052_00000193,1920,1080,124.57969907407407,49.2771052924695,1,1,0,0,0.0
000013_056_00000071,1920,1080,107.47725067515432,39.81594693131967,7,3,4,0,0.0
000013_056_00000281,1920,1080,121.40554494598766,53.800224407867525,11,9,2,1,0.12233347698943062
000014_023_00000208,1920,1080,100.08296585648148,47.856386271264114,4,2,2,0,0.26332894005441615
000014_023_00000277,1920,1080,109.45543547453704,50.07363035282547,2,1,1,0,0.0
000014_025_suppl_00000308,1920,1080,116.90118875385802,49.12990605837198,4,4,0,2,0.0
000014_026_00000064,1920,1080,107.36869936342593,59.257902691218916,5,4,1,1,0.31874352800784234
000014_026_00000127,1920,1080,94.40233940972222,57.03551738580272,9,8,1,2,0.5483466342276536
000014_026_00000190,1920,1080,100.38547501929013,58.79592082871647,7,7,0,1,0.09274909898632823
000014_037_00000271,1920,1080,103.62872299382715,55.892956604764024,7,6,1,0,0.05013703934410498
000014_047_00000139,1920,1080,120.33872685185185,66.56409845527128,8,3,5,1,0.15779970835205398
000014_047_00000208,1920,1080,116.22015769675926,73.86332449499903,5,4,1,1,0.08867266336863039
000014_052_suppl_00000164,1920,1080,112.65108892746913,62.92363371309023,5,5,0,0,0.09165683354534081
000014_060_00000001,1920,1080,125.47912663966049,36.99416811351287,5,3,2,0,0.0
000014_060_00000205,1920,1080,132.12587866512345,32.048090528598735,4,2,2,1,0.0
000014_069_suppl_00000350,1920,1080,101.5556852816358,66.69547355080692,1,0,1,0,0.0
000016_003_suppl_00000166,1920,1080,125.90493778935185,44.10287867397318,1,1,0,3,0.0
000016_016_00000065,1920,1080,132.58998167438273,45.51660471014882,2,2,0,0,0.0
000016_016_00000129,1920,1080,130.52715760030864,44.822941044822656,2,1,1,0,0.0
000016_016_00000257,1920,1080,127.77684944058642,43.807427937560206,1,1,0,1,0.0
000016_021_suppl_00000156,1920,1080,118.5070524691358,48.10017172021554,5,2,3,3,0.017612193459468788
