image_stem,class_id,class_name,size_bin,area_ref_px2,touches_boundary,bbox_xywhn,best_prediction_class,best_prediction_confidence,best_prediction_iou
002962,5,bicycle,tiny,90.44428888857598,False,"[0.409375, 0.63287, 0.0114583, 0.0342593]",seat,0.00102161,0.6066813278631088
003056,0,person,tiny,125.33328,False,"[0.467708, 0.13287, 0.0125, 0.0435185]",light,0.00103675,0.09460023995214226
003056,0,person,tiny,66.1111208888832,False,"[0.460677, 0.149537, 0.00885417, 0.0324074]",light,0.00103675,0.05744991367655328
003056,5,bicycle,tiny,188.44448355532796,False,"[0.460156, 0.160185, 0.0276042, 0.0296296]",light,0.00103675,0.11684536648473766
003056,0,person,tiny,227.556167111424,False,"[0.0234375, 0.224074, 0.0166667, 0.0592593]",light,0.00104498,0.728148656035386
000012_025_00000313,2,animal,tiny,114.66662399999998,False,"[0.401563, 0.329167, 0.0125, 0.0398148]",uav,0.00104985,0.5026858069107716
000303,4,sign,tiny,142.999956,False,"[0.273698, 0.634722, 0.0171875, 0.0361111]",person,0.00105477,0.6324133133157368
001306,4,sign,tiny,174.99996000000002,False,"[0.34401, 0.530093, 0.0234375, 0.0324074]",sign,0.00106088,0.7439665108827586
002693,0,person,tiny,154.000008,False,"[0.596354, 0.511574, 0.009375, 0.0712963]",car,0.00106805,0.38087087233092237
000926,2,animal,tiny,19.99998,True,"[0.0289063, 0.00833333, 0.0078125, 0.0111111]",animal,0.00108596,0.06417546970642425
shuming_85_00000273,8,light,tiny,173.33300266675195,True,"[0.820833, 0.0180556, 0.0208333, 0.0361111]",light,0.00112782,0.013774985430198868
001138,6,car,tiny,156.444515555328,True,"[0.979167, 0.553704, 0.0229167, 0.0296296]",light,0.00115463,0.4506274681180525
001306,2,animal,tiny,243.66618933350395,False,"[0.488281, 0.514352, 0.0223958, 0.0472222]",person,0.00116779,0.544644135493623
003040,0,person,tiny,119.77750755532799,False,"[0.0921875, 0.46713, 0.0114583, 0.0453704]",light,0.00116813,0.3072429298647749
hehe_244_000002_047_00000062,4,sign,tiny,162.0,False,"[0.245312, 0.566204, 0.028125, 0.025]",sign,0.00133028,0.654612654157386
00000036,0,person,tiny,220.999896,False,"[0.886719, 0.656944, 0.0203125, 0.0472222]",uav,0.00134428,0.4573522078774868
003515,0,person,tiny,46.15152353280001,False,"[0.417478, 0.415025, 0.012292, 0.016296]",animal,0.00137997,0.05567243360336054
003526,0,person,tiny,102.08966630399999,False,"[0.497719, 0.43223, 0.00751, 0.059001]",animal,0.00145604,0.15910551113226415
003645,0,person,tiny,176.04299381759998,False,"[0.216205, 0.229578, 0.012649, 0.060406]",animal,0.0014693,0.5292935188425857
002338,2,animal,tiny,41.66659333324799,False,"[0.139844, 0.106019, 0.0130208, 0.0138889]",animal,0.00152015,0.505396063111909
000013_056_00000071,2,animal,tiny,249.11139555532793,False,"[0.475, 0.156944, 0.0197917, 0.0546296]",person,0.00153652,0.7014418126546121
000013_011_00000076,4,sign,tiny,197.22159511142394,False,"[0.888802, 0.139352, 0.0130208, 0.0657407]",person,0.00154839,0.6199935222815973
000014_047_00000139,0,person,tiny,205.55521644441603,False,"[0.760156, 0.59537, 0.0192708, 0.0462963]",car,0.00156257,0.7054122784297927
hehe_87_00000315,2,animal,tiny,174.99996000000002,False,"[0.494531, 0.374537, 0.0234375, 0.0324074]",person,0.00156374,0.3944686153761187
000012_025_00000313,2,animal,tiny,93.333312,False,"[0.418229, 0.326389, 0.0125, 0.0324074]",uav,0.00159536,0.29460491597871635
shuming_396_00000045,7,ball,tiny,106.77754355558397,False,"[0.778385, 0.711574, 0.0161458, 0.0287037]",animal,0.00162412,0.11808483411813217
003515,2,animal,tiny,117.897410304,False,"[0.333898, 0.45464, 0.020142, 0.025405]",person,0.00168586,0.4825807664243261
003526,0,person,tiny,159.96986265599998,False,"[0.536721, 0.437828, 0.013324, 0.05211]",animal,0.00173214,0.19739155427356217
shuming_746_00000017,0,person,tiny,147.333010666752,False,"[0.496354, 0.41713, 0.0177083, 0.0361111]",boat,0.00177836,0.6371418697799429
003974,0,person,tiny,31.66668,False,"[0.34401, 0.349537, 0.0078125, 0.0175926]",person,0.00181264,0.33962695964807377
003974,0,person,tiny,60.666732,False,"[0.0554687, 0.312037, 0.0109375, 0.0240741]",person,0.00186187,0.5616614214698677
003739,2,animal,tiny,206.11159688908802,False,"[0.527865, 0.571759, 0.0182292, 0.0490741]",animal,0.00189517,0.6285179807589251
shuming_1080_00000016,0,person,tiny,122.666688,False,"[0.747917, 0.312963, 0.0125, 0.0425926]",person,0.0019271,0.595746544869074
000004_018_00000341,8,light,tiny,241.77748888857596,False,"[0.594271, 0.110185, 0.0177083, 0.0592593]",light,0.00194535,0.8682288307665267
003299,2,animal,tiny,38.888900444159994,True,"[0.86276, 0.0111111, 0.0130208, 0.012963]",animal,0.00196113,0.48710735893054485
002517,8,light,tiny,69.444122222592,True,"[0.31224, 0.988426, 0.0130208, 0.0231481]",light,0.00204423,0.3872549818906533
000004_018_00000341,0,person,tiny,63.99993599999999,False,"[0.640104, 0.139815, 0.009375, 0.0296296]",person,0.00204673,0.4884810477631244
shuming_1079_00000233,0,person,tiny,57.5556503111424,False,"[0.646875, 0.293981, 0.00729167, 0.0342593]",person,0.00205377,0.5827492868109883
003974,0,person,tiny,109.66662,False,"[0.32526, 0.351389, 0.0109375, 0.0435185]",person,0.00205415,0.4112831915263553
000012_019_00000076,2,animal,tiny,108.88861511116801,False,"[0.504687, 0.161574, 0.0145833, 0.0324074]",animal,0.0020871,0.32329080611410527
003515,0,person,tiny,35.8746527232,False,"[0.596812, 0.428981, 0.007671, 0.020298]",animal,0.00212428,0.27157977008114714
002457,4,sign,tiny,80.888791110912,False,"[0.172396, 0.578704, 0.0145833, 0.0240741]",car,0.00229195,0.2500913005954562
000282,0,person,tiny,235.110824888832,False,"[0.15625, 0.317593, 0.0239583, 0.0425926]",person,0.00231296,0.5703373218205469
003040,0,person,tiny,122.22255111091198,False,"[0.0802083, 0.465278, 0.0104167, 0.0509259]",person,0.00243016,0.19008997231934452
shuming_384_00000171,2,animal,tiny,252.00000000000003,False,"[0.633333, 0.205556, 0.021875, 0.05]",animal,0.00244036,0.5784650571998976
001306,2,animal,tiny,170.0001,False,"[0.626823, 0.484259, 0.0234375, 0.0314815]",animal,0.00251106,0.613990679664774
shuming_683_00000020,8,light,tiny,120.88901751114238,True,"[0.00859375, 0.52037, 0.00885417, 0.0592593]",light,0.00253024,0.5844558013580656
003056,0,person,tiny,31.666681333324792,False,"[0.682552, 0.110648, 0.00989583, 0.0138889]",person,0.00255451,0.0005367551970705475
shuming_747_00000093,0,person,tiny,60.444406755532796,False,"[0.935677, 0.32037, 0.00885417, 0.0296296]",person,0.00258209,0.5675800967658761
hehe_6_00000054,4,sign,tiny,98.66639733350401,True,"[0.0106771, 0.705556, 0.0192708, 0.0222222]",garbage can,0.00268813,0.3765760161213012
002709,4,sign,tiny,33.333299999999994,False,"[0.133073, 0.631481, 0.0078125, 0.0185185]",light,0.00269069,0.19326825330640138
000040,0,person,tiny,227.110616888832,False,"[0.211458, 0.461574, 0.0145833, 0.0675926]",person,0.00273478,0.31164273152269356
000380,0,person,tiny,90.66672,False,"[0.395312, 0.373148, 0.0125, 0.0314815]",garbage can,0.00281739,0.19997552937328103
003980,0,person,tiny,135.33332399999998,False,"[0.83776, 0.357407, 0.0109375, 0.0537037]",person,0.00295959,0.3906647388016062
000013_036_00000208,4,sign,tiny,128.333304,False,"[0.515885, 0.302315, 0.0171875, 0.0324074]",person,0.00296995,0.5873185575278913
shuming_747_00000093,8,light,tiny,101.3333354666496,False,"[0.742188, 0.264352, 0.00833333, 0.0527778]",light,0.0029758,0.45756261885610344
003421,6,car,tiny,62.78146237439999,False,"[0.343268, 0.334955, 0.012549, 0.021714]",car,0.00301508,0.37380054852027844
000926,2,animal,tiny,66.000132,True,"[0.00859375, 0.037963, 0.0171875, 0.0166667]",light,0.00301803,0.16885460729127721
002592,4,sign,tiny,48.999888,False,"[0.696615, 0.485648, 0.0109375, 0.0194444]",person,0.00305135,0.07666895262002499
003882,2,animal,tiny,89.444672888832,False,"[0.276302, 0.34213, 0.0119792, 0.0324074]",person,0.00307447,0.282421038081058
002709,4,sign,tiny,113.88870844415996,False,"[0.695573, 0.506944, 0.0130208, 0.037963]",sign,0.00312618,0.40687188709408223
003974,0,person,tiny,144.0,False,"[0.0609375, 0.300926, 0.0125, 0.05]",person,0.00316376,0.40059639893725274
000012_025_00000313,4,sign,tiny,124.44466488883201,False,"[0.298438, 0.6625, 0.0166667, 0.0324074]",sign,0.00316874,0.49967138599309846
hehe_52_00000107,2,animal,tiny,32.6666069332992,False,"[0.779167, 0.400463, 0.00729167, 0.0194444]",animal,0.00318309,0.6398358962720279
hehe_39_00000020,5,bicycle,tiny,254.99988,False,"[0.153385, 0.552315, 0.0234375, 0.0472222]",bicycle,0.00322387,0.6983873045823284
003725,2,animal,tiny,92.888657777664,False,"[0.448958, 0.868519, 0.0114583, 0.0351852]",animal,0.00325529,0.3661027019569729
003958,0,person,tiny,56.9999808,False,"[0.438281, 0.148611, 0.00989583, 0.025]",bicycle,0.00354351,0.4675252665782485
003265,2,animal,tiny,26.66664,False,"[0.430469, 0.406481, 0.0078125, 0.0148148]",boat,0.00355729,0.010477125560851957
003958,0,person,tiny,116.11101288890882,False,"[0.78724, 0.123611, 0.00989583, 0.0509259]",person,0.00366298,0.23334077321261995
001306,2,animal,tiny,158.66676,False,"[0.555208, 0.492593, 0.021875, 0.0314815]",animal,0.00383034,0.8356347826415339
shuming_72_00000270,6,car,tiny,65.00005199999998,False,"[0.789323, 0.0560185, 0.0203125, 0.0138889]",car,0.00387527,0.184613836587293
002955,5,bicycle,tiny,84.44475022233598,False,"[0.179167, 0.893519, 0.0104167, 0.0351852]",bicycle,0.00392706,0.6768171626595356
shuming_460_00000016,0,person,tiny,84.444331555584,False,"[0.75599, 0.559259, 0.00989583, 0.037037]",garbage can,0.00399223,0.3751700158015255
002955,0,person,tiny,114.66662399999998,False,"[0.110417, 0.868981, 0.0125, 0.0398148]",person,0.00410956,0.4145286485698784
003980,0,person,tiny,36.0,False,"[0.814062, 0.36713, 0.00625, 0.025]",bicycle,0.00417431,0.37636338853905
002663,4,sign,tiny,58.666752,False,"[0.502604, 0.468519, 0.0125, 0.0203704]",light,0.00420406,0.36380998422521277
002955,5,bicycle,tiny,71.999928,False,"[0.228125, 0.89537, 0.009375, 0.0333333]",bicycle,0.00424656,0.5288909258194474
001313,2,animal,tiny,159.99984,False,"[0.302344, 0.316667, 0.0234375, 0.0296296]",animal,0.00425141,0.5786597503087596
000020_011_00000151,3,seat,tiny,193.22180577792,False,"[0.0747396, 0.427315, 0.0192708, 0.0435185]",bicycle,0.00426352,0.3462281136236279
000023_005_00000139,0,person,tiny,184.33321199999995,False,"[0.780469, 0.627315, 0.0109375, 0.0731481]",person,0.00432499,0.33685099576293576
001139,5,bicycle,tiny,235.00050800025602,False,"[0.972656, 0.599537, 0.0244792, 0.0416667]",car,0.00447003,0.5576700364228547
