"index","stem","object_count","preview","review_status","error_type","line_numbers","reviewer_notes"
"1","00000004","11","images\0001_00000004.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"2","00000008","9","images\0002_00000008.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"3","00000022","8","images\0003_00000022.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"4","00000025","9","images\0004_00000025.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"5","00000031","8","images\0005_00000031.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"6","00000033","7","images\0006_00000033.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"7","00000034","9","images\0007_00000034.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"8","00000036","8","images\0008_00000036.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"9","00000038","9","images\0009_00000038.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"10","00000043","9","images\0010_00000043.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"11","00000045","9","images\0011_00000045.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"12","00000047","8","images\0012_00000047.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"13","00000049","8","images\0013_00000049.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"14","00000050","8","images\0014_00000050.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"15","00000052","8","images\0015_00000052.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"16","00000054","8","images\0016_00000054.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"17","00000056","6","images\0017_00000056.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"18","00000057","6","images\0018_00000057.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"19","00000063","6","images\0019_00000063.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
"20","00000068","7","images\0020_00000068.jpg","PASS","","","全量肉眼审核完成，未发现需要修改的类别、框位置或漏标问题"
