pair_type,stem_a,stem_b,frame_gap,grayscale_correlation,dhash_hamming,split_relation
same_prefix_adjacent,000002_081_00000001,000002_081_00000047,46,0.6570001840591431,15,both_train
same_prefix_adjacent,000002_081_00000047,000002_081_00000185,138,0.5509665012359619,19,both_train
same_prefix_adjacent,000002_082_00000061,000002_082_00000121,60,0.23141905665397644,34,both_val
same_prefix_adjacent,000002_083_00000001,000002_083_00000057,56,0.16907592117786407,29,cross_split
same_prefix_adjacent,000002_083_00000057,000002_083_00000113,56,0.07989911735057831,38,cross_split
same_prefix_adjacent,000002_083_00000113,000002_083_00000169,56,0.4056735932826996,33,both_train
same_prefix_adjacent,000003_002_00000060,000003_002_00000178,118,-0.016253363341093063,34,both_train
same_prefix_adjacent,000003_013_00000085,000003_013_00000169,84,0.20821282267570496,24,cross_split
same_prefix_adjacent,000003_014_00000001,000003_014_00000161,160,0.007614796049892902,30,both_train
same_prefix_adjacent,000003_015_00000001,000003_015_00000077,76,0.4315144121646881,20,both_train
same_prefix_adjacent,000003_029_00000084,000003_029_00000333,249,0.0257208663970232,32,cross_split
same_prefix_adjacent,000003_035_00000001,000003_035_00000179,178,0.47216302156448364,21,both_train
same_prefix_adjacent,000003_069_00000088,000003_069_00000175,87,0.45942428708076477,31,both_train
same_prefix_adjacent,000003_080_00000307,000003_080_00000409,102,0.9764295816421509,4,both_val
same_prefix_adjacent,000003_081_00000171,000003_081_00000341,170,0.7454562187194824,12,both_train
same_prefix_adjacent,000004_002_00000001,000004_002_00000084,83,0.6055818796157837,19,both_train
same_prefix_adjacent,000004_009_00000001,000004_009_00000081,80,0.7444417476654053,32,both_train
same_prefix_adjacent,000004_009_00000081,000004_009_00000321,240,0.6367591619491577,31,both_train
same_prefix_adjacent,000004_011_00000001,000004_011_00000171,170,0.09033183753490448,25,cross_split
same_prefix_adjacent,000004_013_00000001,000004_013_00000081,80,0.7004588842391968,26,cross_split
same_prefix_adjacent,000004_013_00000081,000004_013_00000241,160,0.7037527561187744,15,cross_split
same_prefix_adjacent,000004_036_00000082,000004_036_00000244,162,0.6434507369995117,28,cross_split
same_prefix_adjacent,000004_036_00000244,000004_036_00000325,81,0.33270376920700073,33,both_train
same_prefix_adjacent,000005_004_00000191,000005_004_00000286,95,0.14374519884586334,37,both_train
same_prefix_adjacent,000005_010_00000001,000005_010_00000050,49,0.6653953790664673,19,both_val
same_prefix_adjacent,000005_017_00000205,000005_017_00000307,102,0.6881316304206848,21,cross_split
same_prefix_adjacent,000005_019_00000105,000005_019_00000209,104,0.5277438759803772,24,both_train
same_prefix_adjacent,000005_019_00000209,000005_019_00000313,104,0.595613956451416,22,cross_split
same_prefix_adjacent,000005_027_00000001,000005_027_00000247,246,0.47598743438720703,23,both_train
same_prefix_adjacent,000005_027_00000247,000005_027_00000493,246,0.40727299451828003,38,cross_split
same_prefix_adjacent,000005_028_00000001,000005_028_00000163,162,0.19527766108512878,31,cross_split
same_prefix_adjacent,000005_032_00000001,000005_032_00000205,204,0.10689935833215714,34,both_train
same_prefix_adjacent,000005_036_00000001,000005_036_00000108,107,0.5668436288833618,17,both_train
same_prefix_adjacent,000005_036_00000108,000005_036_00000215,107,0.5874588489532471,18,both_train
same_prefix_adjacent,000005_036_00000215,000005_036_00000429,214,0.6469057202339172,12,both_train
same_prefix_adjacent,000006_002_00000001,000006_002_00000102,101,0.5049992799758911,24,both_train
same_prefix_adjacent,000006_004_00000104,000006_004_00000207,103,0.3772621750831604,32,both_train
same_prefix_adjacent,000006_004_00000207,000006_004_00000413,206,0.6914659142494202,20,both_train
same_prefix_adjacent,000006_005_00000295,000006_005_00000393,98,0.5469421744346619,19,both_train
same_prefix_adjacent,000006_007_00000211,000006_007_00000421,210,0.2694721221923828,32,both_train
same_prefix_adjacent,000006_008_00000001,000006_008_00000307,306,0.6746300458908081,34,both_train
same_prefix_adjacent,000006_010_00000292,000006_010_00000389,97,0.09100063145160675,33,both_train
same_prefix_adjacent,000006_011_00000307,000006_011_00000409,102,0.9492477774620056,6,cross_split
same_prefix_adjacent,000007_015_00000209,000007_015_00000313,104,0.14464601874351501,34,both_train
same_prefix_adjacent,000008_003_00000001,000008_003_00000235,234,0.40052396059036255,30,cross_split
same_prefix_adjacent,000008_003_00000235,000008_003_00000352,117,0.6052743792533875,28,both_train
same_prefix_adjacent,000008_003_00000352,000008_003_00000469,117,0.4792078733444214,35,cross_split
same_prefix_adjacent,000008_004_00000001,000008_004_00000167,166,0.5162032842636108,34,both_train
same_prefix_adjacent,000008_004_00000167,000008_004_00000665,498,0.3849281072616577,29,both_train
same_prefix_adjacent,000008_005_00000167,000008_005_00000333,166,0.3601102828979492,20,both_train
same_prefix_adjacent,000008_005_00000333,000008_005_00000665,332,0.2945376932621002,25,both_train
same_prefix_adjacent,000008_012_00000001,000008_012_00000151,150,-0.08592332154512405,29,cross_split
same_prefix_adjacent,000008_033_00000001,000008_033_00000076,75,0.8467272520065308,5,cross_split
same_prefix_adjacent,000008_035_00000001,000008_035_00000108,107,0.11068005859851837,27,both_train
same_prefix_adjacent,000008_035_00000108,000008_035_00000429,321,0.1955895572900772,30,both_train
same_prefix_adjacent,000008_045_00000001,000008_045_00000157,156,0.34044429659843445,15,both_train
same_prefix_adjacent,000008_047_00000001,000008_047_00000112,111,0.7538100481033325,22,both_train
same_prefix_adjacent,000008_047_00000112,000008_047_00000149,37,0.850695013999939,23,cross_split
same_prefix_adjacent,000009_033_00000250,000009_033_00000333,83,0.736513614654541,24,both_train
same_prefix_adjacent,000009_034_00000179,000009_034_00000268,89,0.8612263202667236,15,both_train
same_prefix_adjacent,000009_038_00000026,000009_038_00000076,50,0.9917016625404358,6,both_train
same_prefix_adjacent,000010_006_00000185,000010_006_00000369,184,0.6394245624542236,30,both_train
same_prefix_adjacent,000010_008_00000102,000010_008_00000203,101,0.21294797956943512,29,both_train
same_prefix_adjacent,000010_016_00000189,000010_016_00000283,94,0.4090883135795593,35,both_train
same_prefix_adjacent,000011_002_00000001,000011_002_00000085,84,0.28745535016059875,23,both_train
same_prefix_adjacent,000011_003_00000001,000011_003_00000286,285,0.8739838600158691,3,cross_split
same_prefix_adjacent,000011_003_00000286,000011_003_00000381,95,0.8914929628372192,4,cross_split
same_prefix_adjacent,000011_006_00000001,000011_006_00000256,255,0.6544980406761169,19,cross_split
same_prefix_adjacent,000011_008_00000001,000011_008_00000083,82,0.7255857586860657,14,both_train
same_prefix_adjacent,000012_003_00000226,000012_003_00000301,75,0.7700139284133911,21,cross_split
same_prefix_adjacent,000012_004_00000083,000012_004_00000329,246,-0.053683653473854065,33,both_val
same_prefix_adjacent,000012_009_00000163,000012_009_00000244,81,0.8695330619812012,9,both_train
same_prefix_adjacent,000012_009_00000244,000012_009_00000325,81,0.9626884460449219,3,both_train
same_prefix_adjacent,000012_010_00000001,000012_010_00000223,222,-0.2653457522392273,36,cross_split
same_prefix_adjacent,000012_010_00000223,000012_010_00000297,74,0.5061705112457275,27,cross_split
same_prefix_adjacent,000012_019_00000076,000012_019_00000151,75,0.777714729309082,24,cross_split
same_prefix_adjacent,000012_028_00000250,000012_028_00000333,83,0.20745906233787537,37,both_train
same_prefix_adjacent,000013_001_00000001,000013_001_00000071,70,0.6206868886947632,26,both_train
same_prefix_adjacent,000013_001_00000071,000013_001_00000281,210,0.14556261897087097,29,cross_split
same_prefix_adjacent,000013_002_00000001,000013_002_00000281,280,0.28293633460998535,29,cross_split
same_prefix_adjacent,000013_004_00000159,000013_004_00000238,79,0.7444040775299072,8,both_val
same_prefix_adjacent,000013_017_00000001,000013_017_00000063,62,0.33252474665641785,19,both_train
same_prefix_adjacent,000013_017_00000063,000013_017_00000125,62,0.40739667415618896,17,both_train
same_prefix_adjacent,000013_017_00000125,000013_017_00000187,62,0.18401893973350525,29,both_train
same_prefix_adjacent,000013_023_00000001,000013_023_00000075,74,-0.21119001507759094,37,cross_split
same_prefix_adjacent,000013_023_00000075,000013_023_00000223,148,-0.1191815733909607,32,both_train
same_prefix_adjacent,000013_025_00000001,000013_025_00000285,284,0.35978037118911743,29,cross_split
same_prefix_adjacent,000013_030_00000001,000013_030_00000063,62,-0.15337705612182617,27,both_train
same_prefix_adjacent,000013_030_00000063,000013_030_00000187,124,-0.007052075117826462,27,both_train
same_prefix_adjacent,000013_034_00000001,000013_034_00000069,68,0.04210317134857178,28,both_train
same_prefix_adjacent,000013_034_00000069,000013_034_00000137,68,0.3049546480178833,39,cross_split
same_prefix_adjacent,000013_034_00000137,000013_034_00000205,68,-0.16864041984081268,30,cross_split
same_prefix_adjacent,000013_034_00000205,000013_034_00000273,68,0.3792080879211426,25,both_train
same_prefix_adjacent,000013_039_00000063,000013_039_00000187,124,0.2563784420490265,29,cross_split
same_prefix_adjacent,000013_040_suppl_00000167,000013_040_suppl_00000333,166,0.21278759837150574,30,cross_split
