audit_index,stem,line,severity,issue_type,details,visualization,review_status
1,000003_026_00000001,1,warning,bbox_out_of_bounds,"edges=(0.247396, -0.002778, 1, 0.675926)",outputs\visualization\label_audit\audit_001_000003_026_00000001_L1_bbox_out_of_bounds.jpg,pending_human_review
2,000003_080_00000307,8,error,invalid_bbox_size,"size=(0.291146, 1.00093), expected both values in (0, 1]",outputs\visualization\label_audit\audit_002_000003_080_00000307_L8_invalid_bbox_size.jpg,pending_human_review
3,000005_014_00000292,5,warning,bbox_out_of_bounds,"edges=(0.502604, -0.0018525, 0.641666, 0.4398145)",outputs\visualization\label_audit\audit_003_000005_014_00000292_L5_bbox_out_of_bounds.jpg,pending_human_review
4,000008_012_00000001,4,warning,bbox_out_of_bounds,"edges=(0.3322915, 0.4009265, 0.4906245, 1.0074075)",outputs\visualization\label_audit\audit_004_000008_012_00000001_L4_bbox_out_of_bounds.jpg,pending_human_review
5,000011_008_00000001,1,warning,bbox_out_of_bounds,"edges=(0.4182295, 0.5824075, 0.6411465, 1.0425925)",outputs\visualization\label_audit\audit_005_000011_008_00000001_L1_bbox_out_of_bounds.jpg,pending_human_review
6,000011_008_00000083,3,warning,bbox_out_of_bounds,"edges=(0.823438, 0.7518515, 1.001042, 0.9888885)",outputs\visualization\label_audit\audit_006_000011_008_00000083_L3_bbox_out_of_bounds.jpg,pending_human_review
7,000011_008_00000083,5,warning,bbox_out_of_bounds,"edges=(0.383333, 0.5074075, 0.606771, 1.0009265)",outputs\visualization\label_audit\audit_007_000011_008_00000083_L5_bbox_out_of_bounds.jpg,pending_human_review
8,000016_034_00000199,1,warning,bbox_out_of_bounds,"edges=(0, 0.653704, 0.165625, 1.000926)",outputs\visualization\label_audit\audit_008_000016_034_00000199_L1_bbox_out_of_bounds.jpg,pending_human_review
9,000029,8,warning,bbox_out_of_bounds,"edges=(0.95572965, 0.57592585, 1.0036463, 0.64722215)",outputs\visualization\label_audit\audit_009_000029_L8_bbox_out_of_bounds.jpg,pending_human_review
10,000029,9,warning,bbox_out_of_bounds,"edges=(0.95729165, 0.6379626, 1.0177084, 0.7277774)",outputs\visualization\label_audit\audit_010_000029_L9_bbox_out_of_bounds.jpg,pending_human_review
11,000042,28,warning,bbox_out_of_bounds,"edges=(0.95677075, 0.266667, 1.0270833, 0.414815)",outputs\visualization\label_audit\audit_011_000042_L28_bbox_out_of_bounds.jpg,pending_human_review
12,000045,23,warning,bbox_out_of_bounds,"edges=(0.98958385, 0.2342589, 1.0072922, 0.3064811)",outputs\visualization\label_audit\audit_012_000045_L23_bbox_out_of_bounds.jpg,pending_human_review
13,000050,27,error,invalid_center_coordinate,"center=(1.00339, 0.244907), expected both values in [0, 1]",outputs\visualization\label_audit\audit_013_000050_L27_invalid_center_coordinate.jpg,pending_human_review
