class_id,class_name,all_object_count,train_object_count,val_object_count,val_share_of_class,train_object_fraction,val_object_fraction,train_val_gap_percentage_points,all_image_count,train_image_count,val_image_count
0,person,5545,4435,1110,0.20018034265103696,0.3649905357583738,0.36525172754195456,0.02611917835807498,1114,891,223
1,boat,135,109,26,0.1925925925925926,0.00897045510657559,0.008555445870352089,0.04150092362235017,62,49,13
2,animal,3020,2416,604,0.2,0.19883137190354702,0.198749588680487,0.008178322306001684,798,638,160
3,seat,641,513,128,0.1996879875195008,0.04221874742819521,0.04211911813096413,0.009962929723107694,322,258,64
4,sign,788,630,158,0.20050761421319796,0.05184758456094148,0.05199078644290885,0.014320188196736972,424,339,85
5,bicycle,665,532,133,0.2,0.04378240474035059,0.04376439618295492,0.0018008557395671199,214,171,43
6,car,1949,1559,390,0.20010261672652643,0.12830219735001233,0.12833168805528133,0.0029490705269002992,459,367,92
7,ball,95,76,19,0.2,0.0062546292486215125,0.006252056597564989,0.00025726510565239613,78,63,15
8,light,1835,1468,367,0.2,0.1208131018023208,0.12076340901612373,0.004969278619706974,542,434,108
9,garbage can,282,225,57,0.20212765957446807,0.01851699448605053,0.018756169792694965,0.023917530664443326,231,186,45
10,uav,208,166,42,0.20192307692307693,0.013661427043041725,0.013820335636722606,0.01589085936808815,150,120,30
11,tricycle,27,22,5,0.18518518518518517,0.0018105505719693852,0.0016452780519907865,0.016527251997859874,23,18,5
