stem,group_id,group_type,group_size,split
00000004,G0000,singleton,1,train
00000008,G0001,singleton,1,train
00000022,G0002,numeric_visual_sequence,2,val
00000025,G0002,numeric_visual_sequence,2,val
00000031,G0003,singleton,1,train
00000033,G0004,numeric_visual_sequence,2,train
00000034,G0004,numeric_visual_sequence,2,train
00000036,G0005,singleton,1,val
00000038,G0006,singleton,1,train
00000043,G0007,singleton,1,val
00000045,G0008,singleton,1,train
00000047,G0009,numeric_visual_sequence,3,train
00000049,G0009,numeric_visual_sequence,3,train
00000050,G0009,numeric_visual_sequence,3,train
00000052,G0010,numeric_visual_sequence,3,train
00000054,G0010,numeric_visual_sequence,3,train
00000056,G0010,numeric_visual_sequence,3,train
00000057,G0011,singleton,1,train
00000063,G0012,singleton,1,train
00000068,G0013,singleton,1,train
00000072,G0014,singleton,1,train
00000084,G0015,singleton,1,train
00000090,G0016,numeric_visual_sequence,3,train
00000093,G0016,numeric_visual_sequence,3,train
00000095,G0016,numeric_visual_sequence,3,train
00000098,G0017,singleton,1,train
00000104,G0018,singleton,1,val
00000106,G0019,singleton,1,train
00000111,G0020,singleton,1,train
00000118,G0021,numeric_visual_sequence,4,train
00000120,G0021,numeric_visual_sequence,4,train
00000122,G0021,numeric_visual_sequence,4,train
00000123,G0021,numeric_visual_sequence,4,train
00000129,G0022,numeric_visual_sequence,2,val
00000130,G0022,numeric_visual_sequence,2,val
00000136,G0023,numeric_visual_sequence,2,train
00000139,G0023,numeric_visual_sequence,2,train
00000143,G0024,singleton,1,train
00000147,G0025,singleton,1,train
00000157,G0026,singleton,1,train
00000163,G0027,numeric_visual_sequence,3,train
00000168,G0027,numeric_visual_sequence,3,train
00000171,G0027,numeric_visual_sequence,3,train
00000175,G0028,numeric_visual_sequence,3,train
00000177,G0028,numeric_visual_sequence,3,train
00000180,G0028,numeric_visual_sequence,3,train
00000184,G0029,singleton,1,val
00000189,G0030,singleton,1,train
000002,G0031,singleton,1,train
00000203,G0032,singleton,1,train
00000205,G0033,singleton,1,train
00000207,G0034,singleton,1,val
00000212,G0035,numeric_visual_sequence,4,train
00000214,G0035,numeric_visual_sequence,4,train
00000216,G0035,numeric_visual_sequence,4,train
00000220,G0035,numeric_visual_sequence,4,train
00000221,G0036,singleton,1,train
00000225,G0037,numeric_visual_sequence,4,train
00000228,G0037,numeric_visual_sequence,4,train
00000230,G0037,numeric_visual_sequence,4,train
00000234,G0037,numeric_visual_sequence,4,train
00000239,G0038,singleton,1,train
00000241,G0039,singleton,1,val
00000243,G0040,numeric_visual_sequence,5,val
00000244,G0040,numeric_visual_sequence,5,val
00000248,G0040,numeric_visual_sequence,5,val
00000253,G0040,numeric_visual_sequence,5,val
00000257,G0040,numeric_visual_sequence,5,val
00000271,G0041,numeric_visual_sequence,3,train
00000273,G0041,numeric_visual_sequence,3,train
00000275,G0041,numeric_visual_sequence,3,train
00000282,G0042,singleton,1,train
00000291,G0043,numeric_visual_sequence,2,train
00000293,G0043,numeric_visual_sequence,2,train
000002_080_00000048,G0044,singleton,1,train
000002_081_00000001,G0045,filename_prefix,3,train
000002_081_00000047,G0045,filename_prefix,3,train
000002_081_00000185,G0045,filename_prefix,3,train
000002_082_00000061,G0046,filename_prefix,2,train
000002_082_00000121,G0046,filename_prefix,2,train
000002_083_00000001,G0047,filename_prefix,4,train
000002_083_00000057,G0047,filename_prefix,4,train
000002_083_00000113,G0047,filename_prefix,4,train
000002_083_00000169,G0047,filename_prefix,4,train
00000321,G0048,singleton,1,train
00000332,G0049,numeric_visual_sequence,2,train
00000333,G0049,numeric_visual_sequence,2,train
00000339,G0050,singleton,1,val
00000344,G0051,singleton,1,train
00000346,G0052,singleton,1,train
00000355,G0053,singleton,1,train
00000364,G0054,singleton,1,train
00000367,G0055,singleton,1,train
00000371,G0056,numeric_visual_sequence,2,train
00000373,G0056,numeric_visual_sequence,2,train
00000376,G0057,singleton,1,train
00000394,G0058,singleton,1,val
00000396,G0059,numeric_visual_sequence,3,train
00000399,G0059,numeric_visual_sequence,3,train
000003_002_00000060,G0060,filename_prefix,2,train
000003_002_00000178,G0060,filename_prefix,2,train
000003_013_00000085,G0061,filename_prefix,2,val
000003_013_00000169,G0061,filename_prefix,2,val
000003_014_00000001,G0062,filename_prefix,2,val
000003_014_00000161,G0062,filename_prefix,2,val
000003_015_00000001,G0063,filename_prefix,2,train
000003_015_00000077,G0063,filename_prefix,2,train
000003_018_00000167,G0064,singleton,1,train
000003_023_00000089,G0065,singleton,1,train
000003_026_00000001,G0066,singleton,1,train
000003_028_00000325,G0067,singleton,1,train
000003_029_00000084,G0068,filename_prefix,2,val
000003_029_00000333,G0068,filename_prefix,2,val
000003_030_00000082,G0069,singleton,1,train
000003_035_00000001,G0070,filename_prefix,2,train
000003_035_00000179,G0070,filename_prefix,2,train
000003_051_00000365,G0071,singleton,1,val
000003_068_00000082,G0072,singleton,1,train
000003_069_00000088,G0073,filename_prefix,2,train
000003_069_00000175,G0073,filename_prefix,2,train
000003_080_00000307,G0074,filename_prefix,2,train
000003_080_00000409,G0074,filename_prefix,2,train
000003_081_00000171,G0075,filename_prefix,2,train
000003_081_00000341,G0075,filename_prefix,2,train
000004,G0076,singleton,1,train
00000401,G0059,numeric_visual_sequence,3,train
00000410,G0077,numeric_visual_sequence,3,train
00000414,G0077,numeric_visual_sequence,3,train
00000415,G0077,numeric_visual_sequence,3,train
00000417,G0078,singleton,1,val
00000419,G0079,singleton,1,val
00000423,G0080,numeric_visual_sequence,2,val
00000426,G0080,numeric_visual_sequence,2,val
00000433,G0081,singleton,1,train
00000435,G0082,singleton,1,train
00000440,G0083,singleton,1,val
00000446,G0084,numeric_visual_sequence,2,train
00000447,G0084,numeric_visual_sequence,2,train
00000460,G0085,singleton,1,train
00000462,G0086,singleton,1,train
00000467,G0087,singleton,1,train
00000480,G0088,numeric_visual_sequence,2,train
00000481,G0088,numeric_visual_sequence,2,train
00000485,G0089,singleton,1,val
00000488,G0090,numeric_visual_sequence,2,train
00000490,G0090,numeric_visual_sequence,2,train
00000497,G0091,singleton,1,train
00000499,G0092,singleton,1,train
000004_001_00000087,G0093,singleton,1,train
000004_002_00000001,G0094,filename_prefix,2,train
000004_002_00000084,G0094,filename_prefix,2,train
000004_005_00000238,G0095,singleton,1,train
000004_009_00000001,G0096,filename_prefix,3,train
000004_009_00000081,G0096,filename_prefix,3,train
000004_009_00000321,G0096,filename_prefix,3,train
000004_010_00000199,G0097,singleton,1,train
000004_011_00000001,G0098,filename_prefix,2,train
000004_011_00000171,G0098,filename_prefix,2,train
000004_012_00000001,G0099,singleton,1,train
000004_013_00000001,G0100,filename_prefix,3,train
000004_013_00000081,G0100,filename_prefix,3,train
000004_013_00000241,G0100,filename_prefix,3,train
000004_014_00000001,G0101,singleton,1,train
000004_015_00000163,G0102,singleton,1,train
000004_018_00000341,G0103,singleton,1,val
000004_019_00000321,G0104,singleton,1,train
000004_034_00000079,G0105,singleton,1,train
000004_036_00000082,G0106,filename_prefix,3,train
000004_036_00000244,G0106,filename_prefix,3,train
000004_036_00000325,G0106,filename_prefix,3,train
000005,G0107,singleton,1,train
00000501,G0108,numeric_visual_sequence,3,train
00000506,G0108,numeric_visual_sequence,3,train
00000508,G0108,numeric_visual_sequence,3,train
00000510,G0109,numeric_visual_sequence,3,train
00000512,G0109,numeric_visual_sequence,3,train
00000515,G0109,numeric_visual_sequence,3,train
00000519,G0110,singleton,1,train
00000524,G0111,singleton,1,val
00000526,G0112,numeric_visual_sequence,2,val
00000529,G0112,numeric_visual_sequence,2,val
00000535,G0113,singleton,1,train
00000554,G0114,singleton,1,train
00000556,G0115,numeric_visual_sequence,2,train
00000560,G0115,numeric_visual_sequence,2,train
00000572,G0116,singleton,1,train
00000576,G0117,numeric_visual_sequence,2,train
00000577,G0117,numeric_visual_sequence,2,train
00000579,G0118,singleton,1,train
00000585,G0119,numeric_visual_sequence,2,train
00000586,G0119,numeric_visual_sequence,2,train
00000592,G0120,numeric_visual_sequence,2,train
00000597,G0120,numeric_visual_sequence,2,train
00000599,G0121,singleton,1,train
000005_003_00000181,G0122,singleton,1,train
000005_004_00000191,G0123,filename_prefix,2,train
000005_004_00000286,G0123,filename_prefix,2,train
000005_006_00000001,G0124,singleton,1,train
000005_010_00000001,G0125,filename_prefix,2,train
000005_010_00000050,G0125,filename_prefix,2,train
000005_011_00000421,G0126,singleton,1,train
000005_013_00000001,G0127,singleton,1,train
000005_014_00000292,G0128,singleton,1,train
000005_017_00000205,G0129,filename_prefix,2,train
000005_017_00000307,G0129,filename_prefix,2,train
000005_018_00000405,G0130,singleton,1,train
000005_019_00000105,G0131,filename_prefix,3,train
000005_019_00000209,G0131,filename_prefix,3,train
000005_019_00000313,G0131,filename_prefix,3,train
000005_024_00000001,G0132,singleton,1,train
000005_026_00000001,G0133,singleton,1,train
000005_027_00000001,G0134,filename_prefix,3,train
000005_027_00000247,G0134,filename_prefix,3,train
000005_027_00000493,G0134,filename_prefix,3,train
000005_028_00000001,G0135,filename_prefix,2,train
000005_028_00000163,G0135,filename_prefix,2,train
000005_029_00000191,G0136,singleton,1,train
000005_032_00000001,G0137,filename_prefix,2,val
000005_032_00000205,G0137,filename_prefix,2,val
000005_036_00000001,G0138,filename_prefix,4,train
000005_036_00000108,G0138,filename_prefix,4,train
000005_036_00000215,G0138,filename_prefix,4,train
000005_036_00000429,G0138,filename_prefix,4,train
00000609,G0139,singleton,1,train
00000615,G0140,singleton,1,train
00000618,G0141,numeric_visual_sequence,3,train
00000620,G0141,numeric_visual_sequence,3,train
00000622,G0141,numeric_visual_sequence,3,train
00000629,G0142,singleton,1,train
00000634,G0143,singleton,1,train
00000638,G0144,numeric_visual_sequence,3,train
00000640,G0144,numeric_visual_sequence,3,train
00000642,G0144,numeric_visual_sequence,3,train
00000643,G0145,singleton,1,val
00000649,G0146,numeric_visual_sequence,2,train
00000652,G0146,numeric_visual_sequence,2,train
00000658,G0147,singleton,1,train
00000682,G0148,singleton,1,train
000006_002_00000001,G0149,filename_prefix,2,train
000006_002_00000102,G0149,filename_prefix,2,train
000006_004_00000104,G0150,filename_prefix,3,train
000006_004_00000207,G0150,filename_prefix,3,train
000006_004_00000413,G0150,filename_prefix,3,train
000006_005_00000295,G0151,filename_prefix,2,val
000006_005_00000393,G0151,filename_prefix,2,val
000006_007_00000211,G0152,filename_prefix,2,train
000006_007_00000421,G0152,filename_prefix,2,train
000006_008_00000001,G0153,filename_prefix,2,train
000006_008_00000307,G0153,filename_prefix,2,train
000006_009_00000089,G0154,singleton,1,train
000006_010_00000292,G0155,filename_prefix,2,train
000006_010_00000389,G0155,filename_prefix,2,train
000006_011_00000307,G0156,filename_prefix,2,train
000006_011_00000409,G0156,filename_prefix,2,train
000006_012_00000001,G0157,singleton,1,val
000006_013_00000001,G0158,singleton,1,train
000006_014_00000409,G0159,singleton,1,train
000006_015_00000329,G0160,singleton,1,train
000007_004_00000433,G0161,singleton,1,train
000007_007_00000038,G0162,singleton,1,train
000007_011_00000501,G0163,singleton,1,val
000007_015_00000209,G0164,filename_prefix,2,train
000007_015_00000313,G0164,filename_prefix,2,train
000008_003_00000001,G0165,filename_prefix,4,train
000008_003_00000235,G0165,filename_prefix,4,train
000008_003_00000352,G0165,filename_prefix,4,train
000008_003_00000469,G0165,filename_prefix,4,train
000008_004_00000001,G0166,filename_prefix,3,train
000008_004_00000167,G0166,filename_prefix,3,train
000008_004_00000665,G0166,filename_prefix,3,train
000008_005_00000167,G0167,filename_prefix,3,val
000008_005_00000333,G0167,filename_prefix,3,val
000008_005_00000665,G0167,filename_prefix,3,val
000008_007_00000868,G0168,singleton,1,train
000008_012_00000001,G0169,filename_prefix,2,train
000008_012_00000151,G0169,filename_prefix,2,train
000008_013_00000195,G0170,singleton,1,val
000008_017_00000001,G0171,singleton,1,train
000008_021_00000415,G0172,singleton,1,train
000008_032_00000001,G0173,singleton,1,train
000008_033_00000001,G0174,filename_prefix,2,train
000008_033_00000076,G0174,filename_prefix,2,train
000008_035_00000001,G0175,filename_prefix,3,train
000008_035_00000108,G0175,filename_prefix,3,train
000008_035_00000429,G0175,filename_prefix,3,train
000008_037_00000453,G0176,singleton,1,train
000008_039_00000214,G0177,singleton,1,train
000008_040_00000304,G0178,singleton,1,train
000008_042_00000273,G0179,singleton,1,val
000008_043_00000001,G0180,singleton,1,train
000008_045_00000001,G0181,filename_prefix,2,train
000008_045_00000157,G0181,filename_prefix,2,train
000008_046_00000157,G0182,singleton,1,train
000008_047_00000001,G0183,filename_prefix,3,train
000008_047_00000112,G0183,filename_prefix,3,train
000008_047_00000149,G0183,filename_prefix,3,train
000008_048_00000361,G0184,singleton,1,train
000009_008_00000241,G0185,singleton,1,train
000009_011_00000087,G0186,singleton,1,train
000009_012_00000083,G0187,singleton,1,train
000009_020_00000325,G0188,singleton,1,train
000009_022_00000247,G0189,singleton,1,train
000009_032_00000141,G0190,singleton,1,train
000009_033_00000250,G0191,filename_prefix,2,train
000009_033_00000333,G0191,filename_prefix,2,train
000009_034_00000179,G0192,filename_prefix,2,val
000009_034_00000268,G0192,filename_prefix,2,val
000009_036_00000051,G0193,singleton,1,train
000009_038_00000026,G0194,filename_prefix,2,train
000009_038_00000076,G0194,filename_prefix,2,train
000009_040_00000101,G0195,singleton,1,train
000010_006_00000185,G0196,filename_prefix,2,train
000010_006_00000369,G0196,filename_prefix,2,train
000010_008_00000102,G0197,filename_prefix,2,train
000010_008_00000203,G0197,filename_prefix,2,train
000010_015_00000237,G0198,singleton,1,train
000010_016_00000189,G0199,filename_prefix,2,train
000010_016_00000283,G0199,filename_prefix,2,train
000011_001_00000001,G0200,singleton,1,train
000011_002_00000001,G0201,filename_prefix,2,val
000011_002_00000085,G0201,filename_prefix,2,val
000011_003_00000001,G0202,filename_prefix,3,train
000011_003_00000286,G0202,filename_prefix,3,train
000011_003_00000381,G0202,filename_prefix,3,train
000011_004_00000086,G0203,singleton,1,train
000011_006_00000001,G0204,filename_prefix,2,val
000011_006_00000256,G0204,filename_prefix,2,val
000011_008_00000001,G0205,filename_prefix,2,train
000011_008_00000083,G0205,filename_prefix,2,train
000011_012_00000280,G0206,singleton,1,train
000011_015_00000244,G0207,singleton,1,val
000011_017_00000253,G0208,singleton,1,train
000011_018_00000337,G0209,singleton,1,val
000011_019_00000165,G0210,singleton,1,train
000011_020_00000179,G0211,singleton,1,train
000011_027_00000001,G0212,singleton,1,val
000011_039_00000247,G0213,singleton,1,train
000012_003_00000226,G0214,filename_prefix,2,train
000012_003_00000301,G0214,filename_prefix,2,train
000012_004_00000083,G0215,filename_prefix,2,train
000012_004_00000329,G0215,filename_prefix,2,train
000012_005_00000001,G0216,singleton,1,val
000012_008_00000163,G0217,singleton,1,train
000012_009_00000163,G0218,filename_prefix,3,train
000012_009_00000244,G0218,filename_prefix,3,train
000012_009_00000325,G0218,filename_prefix,3,train
000012_010_00000001,G0219,filename_prefix,3,train
000012_010_00000223,G0219,filename_prefix,3,train
000012_010_00000297,G0219,filename_prefix,3,train
000012_014_00000184,G0220,singleton,1,train
000012_015_00000253,G0221,singleton,1,val
000012_019_00000076,G0222,filename_prefix,2,val
000012_019_00000151,G0222,filename_prefix,2,val
000012_020_00000365,G0223,singleton,1,val
000012_022_00000090,G0224,singleton,1,val
000012_023_00000238,G0225,singleton,1,train
000012_024_00000253,G0226,singleton,1,train
000012_025_00000313,G0227,singleton,1,val
000012_028_00000250,G0228,filename_prefix,2,train
000012_028_00000333,G0228,filename_prefix,2,train
000012_031_00000001,G0229,singleton,1,train
000012_034_00000321,G0230,singleton,1,train
000012_035_00000244,G0231,singleton,1,train
000013_001_00000001,G0232,filename_prefix,3,val
000013_001_00000071,G0232,filename_prefix,3,val
000013_001_00000281,G0232,filename_prefix,3,val
000013_001_suppl_00000354,G0233,singleton,1,train
000013_002_00000001,G0234,filename_prefix,2,train
000013_002_00000281,G0234,filename_prefix,2,train
000013_004_00000159,G0235,filename_prefix,2,train
000013_004_00000238,G0235,filename_prefix,2,train
000013_010_00000232,G0236,singleton,1,train
000013_011_00000076,G0237,singleton,1,val
